u,v,sim
Q187__bottom,Q193__bottom,0.6869600987248046
Q187__bottom,Q194__bottom,0.7526620612657875
Q187__bottom,Q195__bottom,0.579913299370313
Q187__bottom,Q205P__bottom,0.5346169667436635
Q187__bottom,Q210P__bottom,0.6671834952377939
Q187__bottom,Q211P__bottom,0.5374331550802139
Q187__bottom,Q212P__bottom,0.6622630762902256
Q187__bottom,Q214P__bottom,0.507072113406955
Q187__bottom,Q215P__bottom,0.6206372812707655
Q187__bottom,Q218P__bottom,0.5514508116318071
Q187__bottom,Q254P__top,0.6426130430655318
Q187__bottom,Q255P__top,0.560548049235832
Q187__bottom,Q257P__top,0.5070404708413758
Q187__bottom,Q27P__top,0.5589659209568711
Q187__bottom,Q5P__top,0.641189127614467
Q187__bottom,Q6P__top,0.5685061544790052
Q188__bottom,Q151P,0.593473291045497
Q188__bottom,Q165P,0.5943931335609451
Q188__bottom,Q166P,0.5998735555477503
Q188__bottom,Q167P,0.6415716339242933
Q188__bottom,Q168P,0.6228879410111431
Q188__bottom,Q170P__top,0.550122297617169
Q188__bottom,Q180__bottom,0.5898693277671346
Q188__bottom,Q181__bottom,0.5795330511407502
Q188__bottom,Q183__bottom,0.7020196124212001
Q188__bottom,Q185__bottom,0.5551522802587976
Q188__bottom,Q186__bottom,0.6624191257692915
Q188__bottom,Q189__bottom,0.5866452580315556
Q188__bottom,Q191__bottom,0.5926640151058615
Q188__bottom,Q193__bottom,0.7090119435396308
Q188__bottom,Q194__bottom,0.5891005512525295
Q188__bottom,Q195__bottom,0.6453171847877545
Q188__bottom,Q205P__bottom,0.5449542370206722
Q188__bottom,Q209P__bottom,0.5387407290516018
Q188__bottom,Q210P__bottom,0.6071856911925745
Q188__bottom,Q211P__bottom,0.5643443269685972
Q188__bottom,Q212P__bottom,0.6019132608771138
Q188__bottom,Q214P__bottom,0.5352887801798959
Q188__bottom,Q215P__bottom,0.5981129977014903
Q188__bottom,Q216P__bottom,0.518285466308979
Q188__bottom,Q218P__bottom,0.5756864446899164
Q188__bottom,Q22P,0.5196859712797854
Q188__bottom,Q254P__top,0.617248595660315
Q188__bottom,Q255P__top,0.5822944611014675
Q188__bottom,Q257P__top,0.5160170427647152
Q188__bottom,Q27P__top,0.6020396086476251
Q188__bottom,Q28P__top,0.5044382199779075
Q188__bottom,Q45P__top,0.581483725285014
Q188__bottom,Q5P__top,0.5993881056322908
Q188__bottom,Q6P__top,0.6336002840460786
Q253P__bottom,Q229P__bottom,0.5032692801873054
Q253P__bottom,Q69P__bottom,0.5131485242528948
Q253P__bottom,Q70P__bottom,0.5058467397407417
Q27P__top,Q147P__top,0.5048113146621316
Q27P__top,Q151P,0.5577486556975884
Q27P__top,Q165P,0.5409633146075058
Q27P__top,Q166P,0.5477152189947666
Q27P__top,Q167P,0.5778437949209392
Q27P__top,Q168P,0.5684290579638264
Q27P__top,Q170P__top,0.5482961272684218
Q27P__top,Q183__bottom,0.5517160868550082
Q27P__top,Q186__bottom,0.5600929972229995
Q27P__top,Q193__bottom,0.5555365068480104
Q27P__top,Q209P__bottom,0.5156825178137042
Q27P__top,Q210P__bottom,0.5453755366671881
Q27P__top,Q211P__bottom,0.5355531318834071
Q27P__top,Q212P__bottom,0.5369283655682489
Q27P__top,Q214P__bottom,0.5122597033560803
Q27P__top,Q218P__bottom,0.5464803071114976
Q27P__top,Q22P,0.510623641099606
Q27P__top,Q254P__top,0.592502845394133
Q27P__top,Q255P__top,0.5893356931182088
Q27P__top,Q256P__top,0.5085570361440596
Q27P__top,Q257P__top,0.547241297655695
Q27P__top,Q28P__top,0.5154241921942608
Q27P__top,Q45P__top,0.5573975142736503
Q27P__top,Q57P__c1,0.533094115519951
Q27P__top,Q5P__top,0.5929828955843413
Q27P__top,Q6P__top,0.645361978774245
Q5P__top,Q151P,0.6466819074604759
Q5P__top,Q167P,0.5980104487225363
Q5P__top,Q168P,0.6422973911318322
Q5P__top,Q254P__top,0.6468188649538396
Q5P__top,Q255P__top,0.5703141773420167
Q5P__top,Q257P__top,0.5137765690975452
Q5P__top,Q6P__top,0.6116438846346526
Q69P__bottom,Q70P__bottom,0.7155237653492176
Q69P__bottom,Q78P__bottom,0.54485739402227
Q69P__bottom,Q79P__bottom,0.5315590958246512
Q6P__top,Q147P__top,0.5114060370444846
